index,Fixing I Price [PLN/MWh],Fixing I Volume [MWh],Fixing II Price [PLN/MWh],Fixing II Volume [MWh],Continuous Trading Price [PLN/MWh],Continuous Trading Volume [MWh]
2016-01-01 00:00:00,108.27,2565.1,108.55,89.1,110.0,20.0
2016-01-01 01:00:00,94.74,2869.7,95.0,80.6,96.0,30.0
2016-01-01 02:00:00,85.05,3059.8,82.9,135.3,85.42,95.0
2016-01-01 03:00:00,79.35,3116.2,81.57,104.8,81.0,40.0
2016-01-01 04:00:00,75.17,3169.9,82.46,327.4,80.0,20.0
2016-01-01 05:00:00,79.5,3035.5,81.57,113.0,85.0,20.0
2016-01-01 06:00:00,82.96,2767.2,86.15,122.3,84.0,20.0
2016-01-01 07:00:00,98.12,2726.4,122.24,100.0,100.0,20.0
2016-01-01 08:00:00,105.43,2483.5,130.22,100.0,114.67,30.0
2016-01-01 09:00:00,120.09,1976.5,145.17,300.0,131.78,59.0
2016-01-01 10:00:00,134.99,1959.5,146.82,410.1,146.73,174.9
2016-01-01 11:00:00,137.05,1920.5,145.83,600.0,141.23,220.0
2016-01-01 12:00:00,138.5,1935.4,144.76,600.0,140.65,200.0
2016-01-01 13:00:00,142.25,2025.0,147.89,600.0,142.68,193.0
2016-01-01 14:00:00,141.28,1988.8,144.46,600.0,142.3,367.0
2016-01-01 15:00:00,142.24,2027.6,142.31,600.0,143.03,356.7
2016-01-01 16:00:00,147.92,2285.2,154.42,600.0,150.59,120.3
2016-01-01 17:00:00,145.02,2321.8,145.23,600.0,150.09,115.0
2016-01-01 18:00:00,145.63,2151.2,145.66,600.0,146.3,220.0
2016-01-01 19:00:00,145.02,2143.9,145.23,600.0,145.81,202.0
2016-01-01 20:00:00,142.28,2177.3,147.29,600.0,142.93,136.6
2016-01-01 21:00:00,134.39,2164.7,129.13,600.0,134.39,3.0
2016-01-01 22:00:00,119.72,2253.2,125.36,458.1,122.68,99.0
2016-01-01 23:00:00,105.68,2733.0,115.15,266.1,107.78,69.0
2016-01-02 00:00:00,94.74,2869.7,95.0,80.6,96.0,30.0
2016-01-02 01:00:00,85.05,3059.8,82.9,135.3,85.42,95.0
2016-01-02 02:00:00,79.35,3116.2,81.57,104.8,81.0,40.0
2016-01-02 03:00:00,75.17,3169.9,82.46,327.4,80.0,20.0
2016-01-02 04:00:00,79.5,3035.5,81.57,113.0,85.0,20.0
2016-01-02 05:00:00,82.96,2767.2,86.15,122.3,84.0,20.0
2016-01-02 06:00:00,98.12,2726.4,122.24,100.0,100.0,20.0
2016-01-02 07:00:00,105.43,2483.5,130.22,100.0,114.67,30.0
2016-01-02 08:00:00,120.09,1976.5,145.17,300.0,131.78,59.0
2016-01-02 09:00:00,134.99,1959.5,146.82,410.1,146.73,174.9
2016-01-02 10:00:00,137.05,1920.5,145.83,600.0,141.23,220.0
2016-01-02 11:00:00,138.5,1935.4,144.76,600.0,140.65,200.0
2016-01-02 12:00:00,142.25,2025.0,147.89,600.0,142.68,193.0
2016-01-02 13:00:00,141.28,1988.8,144.46,600.0,142.3,367.0
2016-01-02 14:00:00,142.24,2027.6,142.31,600.0,143.03,356.7
2016-01-02 15:00:00,147.92,2285.2,154.42,600.0,150.59,120.3
2016-01-02 16:00:00,145.02,2321.8,145.23,600.0,150.09,115.0
